event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
New College Welcome Assembly,2024-08-20 15:30:00,excited welcome incoming freshmen new college interdisciplinary arts sciences asus west valley campus attend new college welcome assembly join classmates welcome class west valley campus community come connect new college dean students student support teams new college welcome assembly students short break heading asus tempe campus sun devil welcome asu colleges followed infernofest mountain america stadium home sun devils cannot wait welcome new college welcome assembly tuesday august th pm doors open pm sun devil fitness complex sdfc west valley campus asu clear bag policy effect sun devil welcome learn,host organizations new college interdisciplinary arts sciences west valley,stuff,welcome event inperson event,sun devil fitness complex n th ave glendale,0
New Member Education Meetings,2024-09-15 11:00:00,educating new member class pi phi membership obligations commitment panhellenic council,pi beta phi sorority,,,glcc ballroom,1
New Member Education Workshop,2024-09-18 16:00:00,partnership sun devil fitness wellness presentation alcohol drugs,fraternity sorority life,,,greek leadership community center,0
New Member Education Workshop,2024-09-24 17:00:00,partnership student advocacy assistance presentation office resources students student advocacy assistance,fraternity sorority life,,,greek leadership community center,0
New Member Education Workshop,2024-10-01 17:00:00,asus sexual relationship violence program educational workshop bringing bystander,fraternity sorority life,,,greek leadership community center rural road,0
New Member Education Workshop:,2024-11-14 16:00:00,resources presentation student advocacy assistance,fraternity sorority life,,,greek leadership community center rural road,0
New Member Meeting,2024-09-17 19:00:00,allow new members chance learn omega phi alphas history policies,phi chapter omega phi alpha,,club meetings,discovery hall,0
New Member Mixer Flag Football Game,2024-10-17 18:00:00,mixer councils new members come play flag football teams new members pink game breast cancer awareness month required payment play,panhellenic council,,,sun devil fitness complex e apache blvd tempe,0
New member retreat,2024-09-14 11:00:00,new members getting know,kappa delta,,,kd glvkd glv,1
Newman Night,2024-08-28 18:15:00,whether catholic looking mature faith seeker wanting find looking christian friendships please know welcome newman campus corner college university look red brick church see calendar subscribe instagram channel latest offerings especially invite main weekly event newman nights talk dinner wednesday evenings throughout year reservations needed every wednesday one three events newman night men womens small groups embrace envision want become join us highly anticipated mens womens nights held monthly wednesdays forge unbreakable bonds brotherhood sisterhood exploring profound teachings christian views masculinity femininity miss transformative opportunities mark calendars find purpose us newman night christ campus experience profound practice eucharistic adoration worship christ fully present eucharist reinforcing belief true presence among us led passionate student leaders guided devoted clergy christ campus offers extraordinary opportunity engage prayerful communion eucharistic king month join us pause reflect pray uplifting music bask serene presence eucharist sacrament reconciliation also available spiritual renewal time newman night witness twice month newman center invited hear inspiring faith filled speakers brace captivating talks ignite curiosity broaden horizons best part discussion end stick around talk relish delightful complimentary meal exchanging ideas like minded individuals extend invitation students gather friends join us intellectually stimulating evenings leave inspired every wednesday mass pm evening prayer pm newman night pm followed dinner,unknown,,,saints catholic newman center e university dr tempe,0
Newman Night: Men and Women's Night,2024-08-21 18:15:00,seeking supportive community join franciscan friars holy spirit sisters life tonight inspiring talk free food build strong bonds brotherhood sisterhood delving christian perspectives masculinity femininity men meet hall women meet mary college,saints catholic newman center,food stuff,,saints catholic newman center e university dr tempe,0
Night Hike & Pray on Mount 'A' - The Well @ ASU,2024-08-21 19:30:00,join us passport ends pm mu starbucks outdoor patio walk mount together spend time praying semester cannot find us calltext check events,well,,,mu starbucks outside patio e orange st tempe,0
Night Market,2024-08-21 18:00:00,join cultivate gardening club rha night market get free items night market style event items also friend speeding additional prizes chance meet others similar interests also making posters floor come make mark last throughout year show floor pride,cultivate downtown gardening club,food stuff,clubs organization information general welcome event inperson event,taylor place shade garden east taylor street phoenix,0
Nourish PHX event,2024-08-20 08:00:00,opportunity service hours,kappa delta,,,nourish phoenix th ave phoenix,0
Now Showing: Rudy,2024-08-29 18:00:00,get ready football season movie come watch rudy enjoy snacks football themed give aways,polytechnic,food stuff,student engagement event inperson event,student union cooley ballrooms,0
Nrittya Samarpan: A Semester Finale,2024-12-06 18:30:00,event tribute talent commitment dancers showcasing exquisite artistry indian classical dance attendees treated series stunning performances highlight skills creativity developed semester addition dance showcases well recognize contributions performers core committee members expressing gratitude efforts nrittya samarpan night elegance appreciation marking end semester grace joy,lasya,food stuff,,ssv amphitheatertempe campus,0
Nritya Arambh: Kicking Off the Semester,2024-08-27 18:30:00,event designed welcome new semester vibrant energy grace indian classical dance celebration aims introduce newcomers returning members team fostering sense community enthusiasm upcoming season attendees experience captivating performances meet team learn exciting plans opportunities semester ahead whether seasoned dancer new art form nritya arambh promises inspiring engaging start semester,lasya,food stuff,,ssv amphitheatertempe campus,0
ODeclassified School Survival Guide,2024-08-20 15:00:00,welcome asu join us ultimate freshmen orientation hosted odphi odeclassified school survival guide designed help navigate first year ease meet members get insider tips transitioning college life learn secrets thriving asu well cover everything academic success social life well answer questions chat one one miss chance get scoop surviving thriving asu event highlights expert tips current students qa session address concerns one one time experienced upperclassmen insights making asu experience,omega delta phi fraternity inc,food,general welcome event inperson event,memorial union e orange st tempe,0
October Study Table,2024-10-22 18:00:00,whether preparing exams catching assignments join black medical student association october study table snacks drinks provided,black medical student association,food stuff,career professional development club meetings multicultural communities excellence cultural connections multicultural communities excellence,student pavilion rm mcoe space,0
Omega Psi Phi Founders Day Banquet,2024-11-17 19:00:00,celebrate founders day th annual founders day banquet alpha theta chapter omega psi phi fraternity inc,omega psi phi fraternity inc,,,glv ballroom rural rd tempe,1
PHA President's Meetings,2024-09-17 17:30:00,meeting pha council presidents,panhellenic council,,club meetings,greek leadership community center,0
PI Beta Phi Bid Day,2024-09-02 09:00:00,celebration addition new members chapter,pi beta phi sorority,,,legends event center,0
Pab In The Park,2024-08-22 16:00:00,welcome week kick event students taken back childhood summer camp kick school year face painting tug war rock climbing euro bounce tie dye smores lemonade friendship bracelets watch movie camp rock camp related crafts,programming activities board downtown phoenix,food stuff,club meetings pab event welcome event inperson event new student experience,civic space park n central ave phoenix phoenix,0
Packing,2024-09-11 17:00:00,join mim pack health kits homeless population phoenix part liquidgold initiative turning medical waste health kits homeless great opportunity get involved team help population need assembling bandages ointments hygiene products oral health products etc bags distribution homeless shelters,minorities medicine,,club meetings community service,memorial union graham room e orange st tempe,0
Painting Pottery with CaBSS,2024-08-21 18:30:00,join cabss fellow scientists friends departments socialize artistic meet new friends painting pottery wish cabss happy provide studio fees small piece pottery fuel internal artist come get know fellow students overall good time,chemical biological sciences society,stuff,graduate,wish e rio salado pkwy tempe,0
Panhellenic Boogram Sales,2024-10-21 10:00:00,selling boograms hopes womens center,panhellenic council,,,greek leadership community center rural rd tempe,0
Panhellenic Spin Class,2024-10-19 10:00:00,spin class part breast cancer awareness events,panhellenic council,,,greek leadership village rural rd tempe,1
Panhellenic Votes!,2024-11-05 10:00:00,stickers voting election day,panhellenic council,stuff,,greek leadership community center rural rd tempe,0
Parents weekend Presentation,2024-10-06 10:00:00,presenting parents,kappa delta,,,lsa buildinglsa building,1
Parents weekend gala,2024-10-06 11:00:00,fun time parents parents weekend spending time,unknown,,,old main lawnold main lawn,1
Percentage nights,2024-10-07 16:00:00,raising money philanthropy,kappa delta,,,crispy cones mill ave suite tempe,0
Phi Sigma Rho Encouragement Night,2024-09-18 20:00:00,nd night phi sigma rho recruitment week,phi sigma rho alpha lambda chapter,,,hayden c,0
Phi Sigma Rho Friendship Night,2024-09-17 20:00:00,st night phi sigma rhos recruitment week,phi sigma rho alpha lambda chapter,,,hayden c,0
Phi Sigma Rho Info Sessions,2024-09-10 20:00:00,info sessions learn phi sigma rho social sorority women engineering science based majors recruitment process,phi sigma rho alpha lambda chapter,,,hayden c,0
Pitchfork Awards 2025 (Live and Livestream!),2025-04-16 18:30:00,arizona state university recognized hundreds students advisors organizations demonstrate personal organizational leadership collaboration commitment better arizona state university community university celebrates people strive make difference asus campus annual pitchfork awards join us awards ceremonyon april senita ballroom,host organizations polytechnic tempe downtown west valley,food,student engagement event student organization event university signature event inperson event,student pavilion livestream,0
Plant Pot Painting Social,2024-09-03 17:30:00,meet club members interested becoming club members painting plant pots,cultivate downtown gardening club,stuff,club meetings clubs organization information general welcome event graduate inperson event,post office student center san carlos multipurpose room post n central avenue phoenix,0
Polish week,2024-08-11 10:00:00,getting ready recruitment,kappa delta,,,kd glvkd glv,1
Poly Picnic and Mentor Rush presents: Western Welcome,2024-08-23 12:00:00,event open barrett honors college students poly picnics barrett tradition first one semester join us western bbq great opportunity meet incoming barrett students,barrett polytechnic,food stuff,welcome event barrett student organization inperson event,barrett suite lantana hall twining st,0
Poly Picnic presents: Barrett Buck Store and Game Day Eats,2024-09-06 12:00:00,event open barrett honors college students bring barrett bucks first store year also get ready yummy game day food go devils,barrett polytechnic,food stuff,welcome event barrett student organization inperson event,barrett suite lantana hall twining st,0
Poly Picnic presents: Pizza and Pirates,2024-09-20 12:00:00,event open barrett honors college students ahoy pizza fans pirate enthusiasts come join us fun picnic lots delicious pizza get ready adventure great food even seasoned pirate would enjoy,barrett polytechnic,food,welcome event barrett student organization inperson event,barrett suite lantana hall twining st,0
Polypalooza! (Welcome Back Carnival),2024-08-18 19:00:00,kick fall semester carnival games rides prizes free food polypalooza,unknown,food stuff,student engagement event welcome event university signature event inperson event new student experience,sun devil fitness complex polytechnic,1
Polytechnic International Welcome,2024-08-18 17:30:00,polytechnic international welcome held august person event offers informative interactive programs overview wide variety topics help learn prepare life asu welcome sure attend polypalooza sun devil fitness complex fields transportation available tempe sure get times rsvp information new student programs andor issc,polytechnic,food stuff,welcome event university signature event new student experience,student union cooley ballrooms,1
Popsicles and Yard Games,2024-08-22 20:00:00,come eat popsicles play yard games us school music courtyard gammage,young life,,,school music courtyard gammage gammage pkwy tempe,0
Qmunity Pool Episode! Kick off the Fall Semester with Pizza and new Friends ~,2024-08-28 17:00:00,join qmunity vista del sol pool first event term pool episode bring friends floaties fire pool fits connect membership leadership enjoy free pizza soak arizona sunset listen bumping tunes,unknown,food,clubs organization information general cultural connections multicultural communities excellence,vista del sol pool e apache blvd tempe united states,0
RIDS Weekly Meeting,2024-08-17 15:00:00,time fellowship worship,rivers desert,,,istb x formally wrigley hall cady mall tempe,1
Recruitment round 2,2024-08-24 07:00:00,recruitment new pc,kappa delta,,,kd glvkd glv,1
Recruitment round 3,2024-08-30 14:30:00,recruitment new pc,kappa delta,,,kd glvkd glv,0
Recruitment round 4,2024-09-01 07:00:00,recruitment new pc,kappa delta,,,kd glvkd glv,1
Reignited Local,2024-08-30 17:00:00,want play fighting games well event join smash fighting game communities reignited local smash bros ultimate various fighting games rotation make sure join discord stay updated bracket links games run discordggsundevilgaming,sun devil gaming,,,education lecture hall e gammage pkwy tempe,0
Research Ready: Enhance Resume and Professional Connections,2024-11-04 18:30:00,hosted black medical student association asu career services event equip pre med students skills needed secure research programs internships learn enhance resume leverage professional networking ensuring well prepared stand future career opportunities,black medical student association,stuff,career professional development club meetings,hayden library c,0
Rock the Rec,2024-08-19 19:00:00,come join us rock rec polytechnic sun devil fitness center showing entire facility including gym weight room basketball courts pool fun games giveaways food hot bamboo,host organizations sun devil fitness wellness poly,food stuff,changemaker central general sun devil fitnesswellness welcome event sync,polytechnic sun devil fitness center tweet st mesa,0
Rock the Rec,2024-08-21 14:00:00,sun devil fitness programs building showcased mini golf arcade games pickleball badminton much much available play sport clubs healthwellness organizations tabling,sun devil fitness wellness tempe,,clubs organization information general sun devil fitnesswellness welcome event community service inperson event,sun devil fitness complex e apache blvd tempe,0
Rooftop Welcome Mixer - Get to know other Christians on Campus,2024-08-26 19:00:00,meet christians kick school year carnival games food prizes roof top tempe first united methodist church,valley wesley,food stuff,welcome event inperson event new student experience,tempe first united methodist church e university dr tempe,0
SCC Open House,2024-08-21 11:00:00,join us august st student connection community open house come meet scc team learn get involved campus join us snacks fun activities music,student connection community west,,,university center building ucb,0
SCETL Student Assembly Debate Night,2024-09-27 18:00:00,join scetl student assembly debate night welcome experience necessary topic tbd stay tuned,scetl student assembly,,,la p mu,0
SCETL Student Assembly Movie Night,2024-09-20 18:00:00,join scetl student assembly great opportunity meet scetl community enjoy movie snacks,scetl student assembly,food,,pima auditorium mu,0
SDFC Tabling,2024-08-26 10:00:00,rush tabling outside sdfc find guys interested greek life,sigma alpha mu,,inperson event,sun devil fitness center e apache blvd tempe,0
SEA Weekly Meeting,2024-09-09 18:00:00,come join student economics association weekly meeting host variety events including debate nights guest speakers special topics economics presentations socials,student economics association,,,business administration cwing,0
SEAASA General Meeting,2024-09-04 18:30:00,purpose southeast asian american student association seaasa organization promote cultural awareness understanding southeast asian cultures asu various social activities community service educational events seaasa organization directed towards advocacy often underrepresentedmisrepresented communities southeast asian americans seaasa aims instill cultural pride sharing immersing members diverse ethnic traditions well teach members history southeast asian immigration united states organization embrace beauty diversity southeast asian cultures aims acknowledge support different experiences southeast asian americans face identities southeast asian american,southeast asian american student association,,,asu tempe campus,0
SKY Happiness  Retreat,2024-09-20 17:30:00,sky happiness retreat engaging immersive self development retreat tailored students staff faculty participants establish daily evidence based meditation practice acquire stress management leadership skills learn strategies social connection actively engage peer driven service initiatives numerous students staff faculty members renowned universities nationwide stanford mit harvard reported retreat techniques enhanced leadership abilities achieved reducing stress boosting energy levels refining time management bolstering confidence interpersonal relationships techniques exercises workshop meticulously designed facilitate deep relaxation stress relief body mind enjoyable rejuvenating retreat prioritizes present future well schedule sept th friday pm pm pst sept st saturday pm pst sept nd sunday pm pst venue bulldog hall room e orange st tempe az,,,,bulldog hall room e orange st tempe,0
SKY Happiness  Retreat,2024-10-18 17:30:00,sky happiness retreat engaging immersive self development retreat tailored students staff faculty participants establish daily evidence based meditation practice acquire stress management leadership skills learn strategies social connection actively engage peer driven service initiatives numerous students staff faculty members renowned universities nationwide stanford mit harvard reported retreat techniques enhanced leadership abilities achieved reducing stress boosting energy levels refining time management bolstering confidence interpersonal relationships techniques exercises workshop meticulously designed facilitate deep relaxation stress relief body mind enjoyable rejuvenating retreat prioritizes present future well schedule oct th friday pm pm pst oct th saturday pm pst oct st sunday pm pst venue bulldog hall room e orange st tempe az,,,,bulldog hall room e orange st tempe,0
SKY Happiness  Retreat,2024-11-15 17:30:00,sky happiness retreat engaging immersive self development retreat tailored students staff faculty participants establish daily evidence based meditation practice acquire stress management leadership skills learn strategies social connection actively engage peer driven service initiatives numerous students staff faculty members renowned universities nationwide stanford mit harvard reported retreat techniques enhanced leadership abilities achieved reducing stress boosting energy levels refining time management bolstering confidence interpersonal relationships techniques exercises workshop meticulously designed facilitate deep relaxation stress relief body mind enjoyable rejuvenating retreat prioritizes present future well schedule nov th friday pm pm pst nov th saturday pm pst nov th sunday pm pst venue bulldog hall room e orange st tempe az,,,,bulldog hall room e orange st tempe,0
SPS First Meeting,2024-08-29 18:00:00,join us introduction society physics students fun game physics jeopardy first official meeting year meeting psf pm pizza beverages provided come night fun games food,society physics students,food,club meetings,psf e tyler mall tempe,0
SPS Grad Student Panel,2024-09-19 18:00:00,join us psf pm learn panel graduate students ask questions applying grad school research day day life like anything else want pizza drinks provided great opportunity learn relevant information career would love attend,society physics students,food,club meetings,psf e tyler mall tempe,0
SPS Physics Craft Night,2024-11-07 18:00:00,join society physics students fun night arts crafts psf pm learn intersection physics art make creation science behind paint colors goals impressionist paintings overlap stem art might realize come learn fun meeting,society physics students,,club meetings,psf e tyler mall tempe,0
SPS Scavenger Hunt,2024-09-12 18:00:00,exciting event planned week physics themed scavenger hunt join society physics students night fun try best solve puzzles navigate psf always begin meeting psf pm,society physics students,,club meetings,psf e tyler mall tempe,0
SPS Welcome Event,2024-08-22 18:00:00,kick semester society physics students join us psf pm first day classes evening fun games learn club socialize fellow students,unknown,,club meetings inperson event,psf e tyler mall tempe,0
Salt River Tubing with CaBSS,2024-09-14 08:30:00,come tubing cabss salt river september th join us fun relaxing day river friends ride problem arrange carpools make sure everyone wants make hope see,chemical biological sciences society,,graduate,salt river tubing depot n bush hwy mesa,1
Salvia Secrets: Secrets of the Shepherdess,2024-10-23 18:30:00,come join psychedelics club week discussion salvia divinorium psychoactive plant used traditionally mazatec discussing facts benefits risks salvia divinorium form scientific cultural historical perspective,host organizationt psychedelics club,,club meetings general welcome event sync inperson event new student experience,mu apache,0
Sammy Combine,2024-09-04 17:30:00,fraternity rush event gives potential new members chance meet brothers sports like football corn hole many,sigma alpha mu,,,sdfc fields mcallister ave tempe,0
Sankofa Leadership Institute,2024-08-14 09:00:00,sankofa programs aim help students transition successfully high school college providing interactive sessions workshops engagement opportunities various programs sankofa encourages continuous engagement community building name sankofa comes akan west african word meaning looking backward move forward sankofa leadership institute first program series activities starting early academic year students miss early start still participate reconnection activities throughout year following year leadership institute participants invited join student leaders sankofa summit offers academic professional personal development opportunities support holistic growth throughout sun devil journey register attend sankofa leadership institute incoming students august deadline register friday june,black african coalition,food stuff,,student pavilion e orange st tempe tempe,0
Scholars of Physical Mathematics General Meeting,2024-08-30 16:00:00,general meeting scholars physical mathematics asu spm come join presentationdiscussion topic physics mathematics natural philosophy,scholars physical mathematics,,club meetings general inperson event,mu apache,0
"School of Music, Dance and Theatre Graduate Welcome 2024",2024-08-19 13:00:00,welcome asu incoming school music dance theatre graduate student meet faculty new students participate fun activities learn important policies procedures lead success time asu event devoted providing necessary information specific degree include breakout sessions area required new mdt graduate students,host organizations school music dance theatre herberger institute student engagement creative career services,,welcome event,katzin concert hall e gammage dr tempe,0
"School of Music, Dance and Theatre TA Training 2024",2024-08-19 15:30:00,welcome new teaching assistants school music dance theatre session provide substantial amount information use new appointment information specific area music dance theatre ta training take place immediately school music dance theatre graduate welcome required new tas music ta training katzin concert hall dance ta training w theatre ta training w,host organizations school music dance theatre herberger institute student engagement creative career services,,welcome event graduate,katzin concert hall e gammage dr tempe,0
"School of Music, Dance and Theatre Undergraduate Welcome 2024",2024-08-21 10:00:00,welcome asu incoming school music dance theatre undergraduate student meet faculty students participate fun activities learn important policies procedures lead success time asu event devoted providing necessary information specific degree required new mdt undergraduate students lunch included,school music dance theatre,food,welcome event,katzin concert hall e gammage dr tempe,0
Second degree celebration,2024-10-18 20:30:00,celebration second degree,kappa delta,,,kd glvkd glv,0
Senior Circle,2024-08-26 19:00:00,seniors coming together talking memories,kappa delta,,,kd glvkd glv,0
Sentiment Analysis with Python,2024-11-06 10:00:00,sentiment analysis python open lab namig abbasov digital humanities analyst begin explaining sentiment analysis vital text analysis method private sector academic research demonstrate utility industry business problems academic research within social sciences digital humanities next various sentiment analysis techniques explored including machine learning uses algorithms classify sentiments lexicon based methods utilize predefined word lists determine sentiment hybrid approaches combine machine learning lexicon based methods deep learning implements advanced neural networks sentiment classification final section workshop conduct practical sentiment analysis case study using python register,library,,,online,0
ServeCon 2024: Watts College of Public Service and Community Solutions' West Valley Brunch,2024-08-20 10:30:00,welcome watts college west valley students join us pre event brunch head downtown phoenix campus servecon connect west valley peers faculty student support staff diving servecon explore diverse pathways within public service learn inspiring faculty leaders shaping field connect fellow students share passion making difference friends family notice servecon exclusively incoming first year transfer students asus watts college family friends appreciate support unfortunately able attend event bag policy notice encourage follow asus clear bag policy throughout day later events strictly enforce policy please plan accordingly leave unnecessary items home vehicle receive clear bag check essentials,host organizations watts college public service community solutions west valley,food stuff,welcome event inperson event,verde dining pavilion multipurpose room w university way north glendale,0
Set leader training,2024-08-14 18:00:00,teaching new set leaders lead,kappa delta,,,kd glvkd glv,0
Sexual Violence Prevention Leadership Program,2024-09-20 13:00:00,sexual violence prevention leadership program seeks help emerging undergraduate leaders understand role preventing violence individual relational level six week program intended provide student leaders knowledge skills confidence identify address rape supportive norms attitudes behaviors mobilize social change regards sexual violence within communities register linksasuedusvpl,sexual relationship violence program,,,online,0
Shroom Society Foray,2024-08-30 12:00:00,come join shroom society led mycological experts arizona mushroom society ams foray find edible wild mushrooms ensure safety foragers limit people foray keep expert forager ratio lower rides organized shroom society members cars accommodate drive members without access cars week event reach rsvped see drive many people drive members need ride monsoon season unpredictable mushrooms fruit profusely heavy rains arizona location date event may change plan meet mogollon rim sometime weekend august st september st details released rsvp event date draws closer make sure prepared weather conditions monsoon season change rapidly make sure bring appropriate hiking attire including rain jacket along breathable bag mushrooms waterfood hiking somewhere miles depending conditions,shroom society,stuff,club meetings clubs organization information general welcome event sustainability inperson event new student experience,mogollon rim,0
Sigma Tau Gamma Chapter,2024-08-26 19:00:00,brothers sigma tau gamma meet classroom discuss basic organization information,host organizations sigma tau gamma,,club meetings,tbdtbd,0
Sip N' Paint,2024-08-27 18:00:00,join us relaxing creative evening sip n paint event tuesday august th pm pm downtown shade garden asus downtown location unwind delicious mocktail exploring artistic side beautiful outdoor setting whether experienced painter looking try something new event perfect everyone hosted black african coalition great opportunity meet new people enjoy refreshments create masterpiece take home miss fun inspiring night,black african coalition,food stuff,welcome event sync new student experience,shade garden n central ave phoenix,0
Sisterhoods,2024-09-11 18:00:00,spending time sisters,kappa delta,,,kd glvkd glv,0
Slate Interviews,2024-10-19 09:00:00,learning would best kappa deltas next council,kappa delta,,,glccglcc,1
Social,2024-09-05 18:30:00,students interested joining opportunity socialize members organization arts crafts personal growth activities,lambda theta nu sorority inc,,,glcc,0
Solera Experience,2024-08-19 09:00:00,sun devils experience asu west unlike anyone elses new first year transfer students invited kick academic year solera experience welcome opportunity make new friends learn asu traditions get head start campus success cost attend meals provided register today reserve spot register,student connection community west,,student engagement event welcome event,sdfc courts,0
Sonora Center Chill Out Social hosted by the College of Integrative Sciences and Arts,2024-08-30 14:00:00,meet fellow sonora center community members enjoy refreshments pool,college integrative sciences arts,,,tempe campus sonora center pool,0
Sorority Showcase,2024-08-19 10:30:00,interested greek life want learn panhellenic sororities arizona state university come meet chapters hear favorite greek life memories tour inside first floor greek leadership village chapter facilities,panhellenic council,,,greek leadership village rural rd tempe,0
Sparky's Welcome Fair,2024-08-21 18:00:00,kick academic year sparkys welcome fair fun filled event perfect way meet new friends discover student organizations enjoy awesome activities got ice cream pretzels laser tag games music custom swag gameday items student clubs orgs tabling new members registered student organization would like table please sign email downtownclubsedu,downtown,food stuff,clubs organization information student organization event welcome event inperson event,civic space park n central ave phoenix,0
Spectrum Weekly Meeting,2024-08-28 14:00:00,join spectrum asu west valleys pride alliance weekly meeting provide safe space supportive community individuals every romantic sexual gender orientation campus discuss queer news talk lives play games find constitution nxdjrcngykyedituspsharing,unknown,,club meetings,ucb,0
"Spooky Mushroom Arts, Crafts and Trivia!",2024-10-30 18:30:00,come join us festive fun spooky evening learning deadly mushrooms making arts crafts around topic would love see show costume different awards best dressed individuals couples everyone welcome food provided come ready feast,shroom society,food stuff,club meetings clubs organization information general sustainability inperson event new student experience,memorial union,0
Sports Business Scholars Dallas Outreach Trip 2024,2024-10-14 09:00:00,sports business scholars taking students dallas meet sports industry professionals teams development networking meetings serves amazing opportunity students expand reach field new city immerse knowledge professionals desire future,sports business scholars,,,star frisco texas cowboys way frisco texas,0
Sports Business Scholars First Meeting 2024,2024-08-27 09:00:00,sbs hosting first meeting fall semester,sports business scholars,,,wp carey bac th floor room e lemon st tempe,0
Sports Business Symposium,2024-11-15 10:00:00,panel speakers work within sports industry talk experience students learn industry,sports business association,,,student pavilion senita e orange st tempe,0
Stage meetings,2024-09-08 17:30:00,teaching new kappa deltas chapter,kappa delta,,,tempe classroomtempe classroom,1
Sun Devil Gaming LAN,2024-09-27 17:00:00,sdgs big monthly lans make return join sun devil gaming lan edc get important updates clubs staff enjoy fun themed competitions events join sun devil gaming discord learn information events discordggsundevilgaming,sun devil gaming,,,education lecture hall e gammage pkwy,0
Sun Devil Gaming Open House,2024-08-23 17:00:00,join sun devil gaming first friday fall semester get caught massive changes took place summer hang start year join sun devil gaming discord information discordggsundevilgaming,sun devil gaming,,,education lecture hall e gammage pkwy,0
Sun Devil Welcome,2024-08-20 20:00:00,experience sun devil spirit pride tradition finest high energy event arizona state university first year undergraduate students inside sun devil stadium president crow sparky asu athletics band introduce means sun devil official welcome incoming class fall class shirt required entry serves ticket event pickup exclusive first year undergraduate shirt college assembly earlier day times vary college additional shirts may available entry gate prior pm also please note clear bags empty clear plastic water bottles permitted sun devil stadium event pm pm doors opening pm,host organizations new student programs tempe downtown polytechnic west valley,,welcome event,mountain america stadium e veterans way tempe,0
Sunday Funday Movie Night!,2024-08-25 18:00:00,join us quad pm showing monsters university fun giveaways hotdogs lemonade,student connection community west,food stuff,welcome event,quad,1
Sundown Showdown Invitational,2024-11-02 07:00:00,sundown showdown invitational sun devil mock trials annual fall invitational tournament sundown showdown one biggest tournaments west coast teams competing tournament year hosted november maricopa county superior courthouse south tower,sun devil mock trial,,,maricopa county superior courthouse south tower,1
Sunset Movie Night,2024-08-26 19:00:00,get ready delightful evening stars sunset movie night monday august th pm pm join us asus scenic tempe campus magical outdoor movie experience sun sets settle friends fellow students enjoy popular film big screen well cozy seating delicious snacks refreshing drinks enhance movie watching experience event hosted black african coalition perfect way relax kick week offering fantastic opportunity connect others relaxed enjoyable setting bring blankets invite friends miss unforgettable night cinema stars,black african coalition,food,clubs organization information welcome event sync new student experience cultural connections multicultural communities excellence,state university tempe campus forest ave tempe,0
Super WOW: What's on Wednesday 2024,2024-08-21 09:00:00,welcome first year students w p carey school business kickstart school year attending conference style w p carey welcome event take break heat check classrooms lounges diverse clubs fun networking sessions connect faculty student leaders staff learn majors meet department learn variety resources including scholarships study abroad asu athletics engage peers student leaders start sun devil journey,w p carey school business business community advantage first year experience,food stuff,wp carey event,tempe campus deans patio business complex,0
Survivor Prelims,2024-08-24 15:00:00,large showcase event serves precursor annual fall event survivor weekend students join team students dorm compete outdoor puzzles games purpose connect students provide safe event allows fun without regrets,hope church movement,,general,sdfc west field sand volleyball courts,1
Survivor Weekend Pool Party,2024-09-04 18:00:00,social gathering sdfc pool promote comradery interested survivor weekend students come together meet others learn survivor weekend attend,hope church movement,,general,sdfc east pool,0
Swishes for Wishes,2024-09-22 11:00:00,basketball tournament close philanthropy week,chi omega sorority,,,asu tempe sdfc e apache blvd tempe,1
T-Shirt Tie Dye!,2024-10-16 18:30:00,join shroom society tie dye shroom society shirts tie dye materials shirts provided rsvp soon possible limited spots available well shirts tye die materials,shroom society,stuff,club meetings general sustainability inperson event new student experience,mu gold,0
TAMID Group Executive Board Meetings,2024-08-26 18:00:00,tamid group executive board meetings,tamid group,,,bac,0
TAMID Group Fund Meetings,2024-08-20 18:00:00,fund meetings work stock pitches,tamid group,,inperson event,ba,0
TCG club weekly meeting,2024-08-28 18:00:00,come join us weekly meeting hang play favorite trading card game popular games play meetings magic gathering pokemon yuigioh occasionally hold magic gathering drafts pokemon build battle events weekly meetings information join community visit discord server,trading card game club,,club meetings,engineering center palm walk tempe,0
Tango Club Meeting,2024-08-22 19:30:00,weekly meeting welcome join regardless tango knowledge tango social dance focus teaching beginners meeting location aspire studio present sun devil fitness complex sdfc found second floor meetings start around pm arizona time please bring water comfortable shoes dancing hope see,tango club,,clubs organization information,aspire studio sdfc e apache blvd tempe,0
Taste of the MU,2024-08-21 18:00:00,join us memorial union wednesday august st pm pm taste mu explore sun devil dining offer sampling free food mu food vendors head nd floor find student organization fair showcasing special interest groups,tempe,food,welcome event,memorial union e orange st tempe,0
The Design School Graduate Student Welcome 2024,2024-08-19 14:00:00,welcome design school thrilled join us event begin warm welcome director paola sanguinetti graduate advisors program leadership faculty current students,host organizations design school herberger institute student engagement creative career services,,welcome event,design north room forest mall tempe,0
The Design School Undergraduate Welcome 2024,2024-08-20 14:00:00,come join design school welcome incoming undergraduate students great opportunity meet school director advisors faculty also get participate student organization fair learn different opportunities get involved design related clubs campus event give sneak peek expect upcoming semester make even better serving free ice cream,host organizations design school herberger institute student engagement creative career services,,welcome event,neeb hall forest mall tempe,0
The Edson College Experience Unfiltered,2024-08-07 13:00:00,hey first years join student engagement edson college experience unfiltered session spill tea insider tips college life answer lingering questions virtually connect students step foot campus bring questions meet new friends let us start college journey together,host organizations edson college nursing health innovation student engagement downtown polytechnic west valley,,general welcome event sync new student experience,online,0
