event_name,datetime,description,host_org,event_perks,categories,location,event_weekend
Major Mingle - Exploratory,2024-08-21 16:00:00,"Major Mingle: Boost Your Campus Connections for Exploratory Programs! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students currently in an exploratory program. This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.    Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin      Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 203)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Forensics,2024-08-21 15:00:00,"Major Mingle: Boost Your Campus Connections for Forensic Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Forensic Science (BS), Forensic Science (Death Investigations) (BS) and Computational Forensic (BS). This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.  Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin  Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 201)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Humanities,2024-08-21 14:00:00,"Major Mingle: Boost Your Campus Connections for Humanities Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Humanities, Arts and Cultural Studies degrees. This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.  Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin  Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 201)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Mathematics/Technology,2024-08-21 14:00:00,"Major Mingle: Boost Your Campus Connections for Mathematics and Technology Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Mathematica, Computing and Technology degrees. This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.    Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin      Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 202)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Natural Sciences,2024-08-21 16:00:00,"Major Mingle: Boost Your Campus Connections for Natural Science Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Biology (BA/BS), Biology (Environmental Justice) (BA/BS), Biology (Pharmacology and Toxicology) BS), Environmental Science (BA/BS), Environmental Science (Environmental Justice (BA/BS) and Pharmacology and Toxicology (BS). This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.    Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin      Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 201)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Psychology,2024-08-21 13:00:00,"Major Mingle: Boost Your Campus Connections for Psychology Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Psychology (BA/BS), Psychology (Forensic Psychology (BA/BS) Psychology and (Positive Psychology) (BA/BS). This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.    Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin  Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley,,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 201)13492 N 47th Ave, Phoenix, ",0
Major Mingle - Social and Behavioral Sciences,2024-08-21 14:00:00,"Major Mingle: Boost Your Campus Connections for Social and Behavioral Sciences Majors! Feeling a bit anxious about meeting new people as you start your journey at ASU? Don’t worry, we’ve got you covered! Join us for a fun and engaging event designed exclusively for students majoring in Aging (BS), Communication (BA/BS), Conflict Resolution (BA), Political Science (BA/BS), Social and Behavioral Sciences (BA/BS), Social Justice and Human Rights (BA) and Sociology (BA/BS). This is the perfect opportunity to connect with peers who share your academic interests and may even be in the same classes as you.    Meet Your Peers: Build friendships with fellow students in your major. Form Study Groups: Find classmates who can become your study partners and support system. Get a Head Start: Establish your community before classes begin      Don’t miss this chance to kick off your first semester with a strong support network. We look forward to seeing you there and helping you make the most out of your ASU experience! For any questions or more information, please contact NCStudentServices@asu.edu.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sands Classroom Building (SANDS 203)13492 N 47th Ave, Phoenix, ",0
Major Monday,2024-08-26 10:00:00,"Is your major the right fit?   Learn about ALL New College majors!   Connect with your academic advisor!   Explore adding a minor or certificate!   Discover career pathways!   Learn about internships!   Enjoy music, food trucks, and free giveaways!",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley A  Career Services, Food   Stuff,Welcome Event,"Fletcher Lawn4701 W Thunderbird Rd, Glendale,  85306, Glendale,  ",0
Make Your Own Tote Bag! - Pre Pitchfork Pantry Pop-Up,2024-09-18 10:00:00,Prep fort he pantry with New College! Make a tote bag that you can then use to carry your free groceries from Pitchfork Pantry!,Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley  Pitchfork Pantry - West Valley, Stuff,,"Center Mall at ASU West Valley4701 W Thunderbird Rd., Glendale,  ",0
Maroon Monday 8/26,2024-08-26 10:00:00,Tabling event where incentives are given to students who are wearing maroon.,Host Organizations Programming and Activities Board - Downtown Phoenix  Programming and Activities Board - University Wide, Stuff,"PAB Event, In-Person Event",Taylor Mall Walkway,0
Mass of the Holy Spirit,2024-08-25 18:00:00,We will invoke the Holy Spirit over the ASU Newman Community at the beginning of the academic year. Professors are warmly invited to wear their academic regalia and join us afterward for a light reception.,All Saints Catholic Newman Center, Food,,"All Saints Catholic Newman Center230 E. University Dr, Tempe, ",1
Medical Skills Building Workshop,2024-10-23 17:30:00,"Join MiM for a clinical skills building workshop! We will have stations to briefly teach students essential healthcare skills such as reading an EKG, suturing, bandage wrapping, finding different pulses, obtaining a blood pressure, and completing a neuro motor exam. All supplies will be provided. Simply show up!",Minorities in Medicine, Food   Stuff,"Career and Professional Development, Club Meetings, Memorial Union & Student Pavilion Programs","Memorial Union #226 (Graham Room)301 E Orange St., Tempe,  85281",0
Meet The Edson Student Engagement Team!,2024-08-27 10:00:00,"Come meet the Edson College Student Engagement team and learn about all of the exciting things planned for the semester. Grab a snack, ask questions, get some Edson swag, and more. We hope to see you there!",Host Organizations Edson College of Nursing and Health Innovation Student Engagement   Downtown, Food   Stuff,"Welcome Event, In-Person Event, New Student Experience","Health North Lobby 550 N 3rd St, Phoenix, ",0
Meet the Zetas: Cupcake Decorating,2024-09-05 17:00:00,Students will have an opportunity to meet the new members of our organization.,"Zeta Phi Beta Sorority, Inc.",,,MCOE,0
MidTerms Week Therapy Dogs With Panhellenic,2024-10-08 15:00:00,Join us to destress during midterms with therapy dogs!, Panhellenic Council,,,"Greek Leadership Community Center975 S Rural Rd, Tempe, ",0
Mirabella at ASU Humanities and Arts Wellness Workshop - Medical Humanities Society at ASU,2024-09-07 11:00:00,"Join us for the inaugural Humanities and Arts Narrative Medicine Workshop at Mirabella at ASU, where we will explore the intersection of healthcare and the humanities to foster empathy, compassion, and holistic patient care. This unique workshop at Mirabella at ASU, will feature interactive storytelling sessions, artistic expression activities, small group discussions, and insights from experts in narrative medicine and the arts. Designed for healthcare professionals, students, and community members, this workshop aims to bridge the gap between medical science and the human experience, providing valuable tools to improve patient provider relationships. We look forward to seeing you at this enriching and inspiring event!",Medical Humanities Society at , Stuff,Club Meetings,"Mirabella at ASU65 E University Dr, Tempe,  85281, USA",1
Monday Munches: Grab a Donut and Chat!,2024-08-26 10:30:00,"Join us throughout the semester in Mercado C on the Second Floor for FREE donuts and snacks. We are here to answer any questions you may have, and help you have a great semester. *Donuts are reserved only for students part of Edson College of Nursing and Health Innovation.*",Host Organizations Edson College of Nursing and Health Innovation Student Engagement   Downtown, Food   Stuff,In-Person Event,"Mercado C, 2nd Floor Lobby502 E. Monroe, Bldg. C., Phoenix, ",0
Movie Night at Mercado,2024-08-19 18:30:00,"Join us for an unforgettable evening at Movie Night at the Mercado! Get ready to kick off the school year with a blast as we watch ""Legally Blonde"" and ""Zootopia"" together. Enjoy free food, including delicious sandwiches, popcorn, and treats, and take advantage of the perfect opportunity to meet and mingle with fellow Sun Devils. Whether you're a freshman or a senior, everyone is welcome to join in the fun and make lasting connections. The night promises a laid back, fun filled atmosphere with good company, great movies, and tasty food. Don’t miss out on this amazing event! Mark your calendars, grab your friends, and head to the Mercado for a movie night you won't forget. See you there!",Honors College Council at Barrett, Food   Stuff,Welcome Event,"Mercado Downtown502 E Monroe St, Phoenix,  85004",0
Movie and Trivia Night! Featuring: How To Train Ypour Dragon,2024-08-25 18:00:00,"Grab your new friends, grab some snacks and come watch How To Train Your Dragon.  During the movie you will have the chance to play movie trivia! Each game features 10 15 questions about the plot, production and actors via the Kahoot! platform for an interactive experience.", Polytechnic, Food,"Student Engagement Event, Welcome Event, New Student Experience",Student Union - Cooley Ballrooms,1
Multicultural Communities of Excellence Open House,2024-08-22 11:00:00,"Visit the MCoE during our fall 2024 open house. Meet our ambassadors, check out our programming, ask how to reserve the space, and enjoy cookies and lemonade.",Multicultural Communities of Excellence (Poly), Food,Multicultural Communities of Excellence,Multicultural Communities of Excellence- Poly,0
Mundo Ball Monday,2024-09-16 19:00:00,"Battle it out in Monday's Mundo Ball tournament bracket! Prizes for the winners! Rules and registration: https://forms.gle/5ZzzM2GYWvp1d6hi9    For an example of how to play, use this link: https://youtu.be/FeiXYjDhlMU?si=oMtm62GkQGXd4x6N&t=23",League of Legends at , Stuff,General,Online,0
MySA Fall Welcome Event,2024-08-30 17:00:00,"Event to welcome in the Fall intake, and catch up with active members after the summer break. We will be hosting a chat session alongside playing social and board games to create an engaging experience while people catch up after summer break, or provide resources both academic and living, to new incoming students. There will also be halal food for members to enjoy while catching up.",Malaysian Students' Association,,,"MU236 Coconino301 E Orange St., Tempe,  85281, United States",0
Native Health Workday,2024-09-14 12:00:00,"We will be helping out at the native health garden. Tasks may include weeding, planting, harvesting, watering, and more. Please bring sun protection, water, and closed toed shoes! Meet at Gordon Commons at 6:15 am if you would like to light rail together!",Cultivate Downtown Gardening Club at   ®,,"Club Meetings, General, Community Service, Graduate","Native Health Community Garden 1822 West Pierson St, Phoenix,  ",1
Navigating College as Latinos,2024-09-18 18:30:00,"This event aims to serve as a panel aimed at freshmen and sophomore Latino's who don't know much about navigating College, and to hear first hand from students who have come to be so successful of what it was that has helped them succeed so much, what was the best piece of advice they received, and just anything else they wish they knew before as a freshmen/sophomore/ early Junior","Lambda Sigma Upsilon Latino Fraternity, Inc.",,"Culture @ ASU, In-Person Event, Cultural Connections and Multicultural Communities of Excellence, Hispanic Heritage Month",TBD,0
New College Affirmation Station,2024-10-03 13:00:00,Say something sweet and grab a treat!,Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,In-Person Event,"Fletcher Lawn4701 W Thunderbird Rd, Glendale,  85306, Glendale,  ",0
New College Transfer Student BBQ Bash,2024-08-27 16:00:00,"Join us to celebrate and welcome our Fall 2024 transfer students! Come make new friends, discover resources, and kickstart your journey at New College! RSVP here:  https://specialevents.asu.edu/transferbbq",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley A  Career Services T TRiO: SSS STEM (West), Food   Stuff,Welcome Event,"ASU West Valley - Center Mall (Courtyard between the faculty Administration Building and University Center Building)4701 W Thunderbird Rd, Glendale,  85306, Glendale,  ",0
New College Welcome Assembly,2024-08-20 15:30:00,"We are excited to welcome all incoming freshmen in the New College of Interdisciplinary Arts and Sciences at ASU’s West Valley campus to attend the 2024 New College Welcome Assembly. Join your classmates as we welcome the Class of 2028 to our West Valley Campus community. Come connect with your New College Dean, students, and student support teams. After the New College Welcome Assembly, all students will have a short break before heading over to ASU’s Tempe campus for the Sun Devil Welcome with all other ASU Colleges followed by the 2024 InfernoFest at Mountain America Stadium, home of the Sun Devils*. We can’t wait to welcome you.  New College Welcome Assembly Tuesday, August 20th 2024 3:30 pm I Doors Open at 3:00 pm Sun Devil Fitness Complex (SDFC) I West Valley campus *The ASU Clear Bag Policy is in effect for the Sun Devil Welcome. Learn more here.",Host Organizations New College of Interdisciplinary Arts and Sciences   West Valley, Stuff,"Welcome Event, In-Person Event","Sun Devil Fitness Complex13351 N. 47th Ave., Glendale, ",0
New Member Education Meetings,2024-09-15 11:00:00,Educating our new member class on Pi Phi membership obligations and commitment to the Panhellenic Council.,Pi Beta Phi Sorority,,,GLCC Ballroom,1
New Member Education Workshop,2024-09-18 16:00:00,In partnership with Sun Devil Fitness and Wellness. A presentation on Alcohol and Other Drugs.,Fraternity & Sorority Life,,,Greek Leadership Community Center,0
New Member Education Workshop,2024-09-24 17:00:00,In partnership with Student Advocacy and Assistance. A presentation on the office of resources for students from Student Advocacy and Assistance.,Fraternity & Sorority Life,,,Greek Leadership Community Center,0
New Member Education Workshop,2024-10-01 17:00:00,ASU's Sexual and Relationship Violence Program educational workshop on Bringing in the Bystander.,Fraternity & Sorority Life,,,Greek Leadership Community Center915 S Rural Road,0
New Member Education Workshop:,2024-11-14 16:00:00,Resources and a presentation from Student Advocacy and Assistance.,Fraternity & Sorority Life,,,Greek Leadership Community Center915 S Rural Road,0
New Member Meeting,2024-09-17 19:00:00,Allow our new members the chance to learn about Omega Phi Alphas history and policies,Phi Chapter of Omega Phi Alpha,,Club Meetings,Discovery Hall,0
New Member Mixer Flag Football Game,2024-10-17 18:00:00,Mixer for all council's new members to come to play flag football against teams of other new members! Pink out game for Breast Cancer Awareness Month! No required payment to play!, Panhellenic Council,,,"Sun Devil Fitness Complex400 E Apache Blvd, Tempe,  ",0
New member retreat,2024-09-14 11:00:00,New members getting to know each other.,Kappa Delta,,,KD GLVKD GLV,1
Newman Night,2024-08-28 18:15:00,"Whether you are a Catholic looking to mature in your faith, a ""seeker"" just wanting to find out more, or looking for Christian friendships   please know that you are most welcome at Newman. Our campus is at the corner of College and University   look for the red brick church. See our calendar or subscribe to our Instagram channel @asucatholic for the latest offerings. We especially invite you to our main weekly event   Newman Nights, with a talk and dinner   on Wednesday evenings throughout the year   no reservations needed! Every Wednesday, we have one of three events:   Newman Night: Men and Women's Small Groups:  Embrace who you are and envision who you want to become. Join us for our highly anticipated Men's and Women's nights, held monthly on Wednesdays. Forge unbreakable bonds of brotherhood and sisterhood while exploring the profound teachings of Christian views on masculinity and femininity. Don't miss out on these transformative opportunities! Mark your calendars and find your purpose with us.    Newman Night: Christ on Campus: Experience the profound practice of Eucharistic Adoration, where we worship Christ fully present in the Eucharist, reinforcing our belief in His true presence among us. Led by passionate student leaders and guided by our devoted clergy, Christ on Campus offers you an extraordinary opportunity to engage in prayerful communion with the Eucharistic King. Once a month, join us to pause, reflect, pray with uplifting music, and bask in the serene presence of the Eucharist. The Sacrament of Reconciliation is also available for spiritual renewal during this time.   Newman Night: Witness Twice a month, at the Newman Center you are invited to hear from inspiring and faith filled speakers! Brace yourself for captivating talks that will ignite your curiosity and broaden your horizons. And the best part? The discussion doesn't end there! Stick around after the talk and relish a delightful, complimentary meal while exchanging ideas with like minded individuals.   We extend this invitation to all students, so gather your friends and join us for intellectually stimulating evenings that will leave you inspired  Every Wednesday (Mass at 5:15pm, Evening Prayer at 5:50pm, Newman Night at 6:15pm, followed by dinner.)",Unknown,,,"All Saints Catholic Newman Center230 E. University Dr, Tempe, ",0
Newman Night: Men and Women's Night,2024-08-21 18:15:00,Seeking a supportive community? Join the Franciscan Friars of the Holy Spirit and the Sisters of Life tonight for an inspiring talk and free food! Build strong bonds of brotherhood and sisterhood while delving into Christian perspectives on masculinity and femininity. Men will meet in the Hall. Women will meet at Mary College.,All Saints Catholic Newman Center, Food   Stuff,,"All Saints Catholic Newman Center230 E. University Dr, Tempe, ",0
Night Hike & Pray on Mount 'A' - The Well @ ASU,2024-08-21 19:30:00,"Join us after Passport ends at 7:30pm at the MU Starbucks Outdoor Patio to walk over to Mount 'A' together, and spend time praying over the semester.  Can't find us, call/text: 480.269.4633 Check out our other events at: https://thewellatasu.com/events",The Well,,,"MU Starbucks - Outside Patio301 E Orange St., Tempe, ",0
Night Market,2024-08-21 18:00:00,Join Cultivate Gardening Club and RHA at the Night Market. Get free items at a night market style event items. There will also be friend speeding for additional prizes and the chance to meet others with similar interests. We will also be making posters for each floor so come and make a mark that will last throughout the year and show your floor pride!,Cultivate Downtown Gardening Club at   ®, Food   Stuff,"Clubs and Organization Information, General, Welcome Event, In-Person Event","Taylor Place Shade Garden 120 East Taylor Street, Phoenix, ",0
Nourish PHX event,2024-08-20 08:00:00,Opportunity for service hours.,Kappa Delta,,,"Nourish Phoenix501 S 9th Ave, Phoenix,  85007",0
Now Showing: Rudy,2024-08-29 18:00:00,Get ready for Football Season with a movie! Come watch Rudy and enjoy snacks and football themed give aways!, Polytechnic, Food   Stuff,"Student Engagement Event, In-Person Event",Student Union - Cooley Ballrooms,0
Nrittya Samarpan: A Semester Finale,2024-12-06 18:30:00,"  This event is a tribute to the talent and commitment of our dancers, showcasing the exquisite artistry of Indian classical dance. Attendees will be treated to a series of stunning performances that highlight the skills and creativity developed over the semester. In addition to the dance showcases, we'll recognize the contributions of performers and core committee members, expressing our gratitude for their efforts. ""Nrittya Samarpan"" is a night of elegance and appreciation, marking the end of the semester with grace and joy.",Lasya at , Food   Stuff,,SSV AmphitheaterTempe Campus,0
Nritya Arambh: Kicking Off the Semester,2024-08-27 18:30:00,"  This event is designed to welcome the new semester with the vibrant energy and grace of Indian classical dance. This celebration aims to introduce newcomers and returning members to the team, fostering a sense of community and enthusiasm for the upcoming season. Attendees will experience captivating performances, meet the team, and learn about the exciting plans and opportunities for the semester ahead. Whether you're a seasoned dancer or new to the art form, ""Nritya Arambh"" promises an inspiring and engaging start to the semester.",Lasya at , Food   Stuff,,SSV AmphitheaterTempe Campus,0
ODeclassified School Survival Guide,2024-08-20 15:00:00,"Welcome to ASU! Join us for the ultimate freshmen orientation hosted by ODPhi! Our ""ODeclassified School Survival Guide"" is designed to help you navigate your first year with ease. Meet our members, get insider tips on transitioning to college life, and learn the secrets to thriving at ASU. We’ll cover everything from academic success to social life, and we’ll be there to answer your questions and chat one on one. Don’t miss this chance to get the scoop on surviving and thriving at ASU! Event Highlights:  Expert tips from current students Q&A session to address your concerns One on one time with experienced upperclassmen Insights on making the most of your ASU experience","Omega Delta Phi Fraternity, Inc", Food,"General, Welcome Event, In-Person Event","Memorial Union301 E Orange St., Tempe, ",0
October Study Table,2024-10-22 18:00:00,"  Whether you're preparing for exams or catching up on assignments, join the Black Medical Student Association at their October Study Table; snacks and drinks will be provided!",Black Medical Student Association, Food   Stuff,"Career and Professional Development, Club Meetings, Multicultural Communities of Excellence, Cultural Connections and Multicultural Communities of Excellence",Student Pavilion RM 231 (MCOE Space),0
Omega Psi Phi Founders Day Banquet,2024-11-17 19:00:00,"Celebrate Founder's Day at the 78th annual Founders Day banquet with the Alpha Theta chapter of Omega Psi Phi Fraternity, Inc.",Omega Psi Phi Fraternity Inc.,,,"GLV Ballroom975 S Rural Rd, Tempe,  85281",1
PHA President's Meetings,2024-09-17 17:30:00,Meeting for PHA council presidents, Panhellenic Council,,Club Meetings,Greek Leadership Community Center,0
PI Beta Phi Bid Day,2024-09-02 09:00:00,Celebration of the addition of new members to our chapter!,Pi Beta Phi Sorority,,,Legends Event Center,0
Pab In The Park,2024-08-22 16:00:00,"Welcome week kick off event! Students will be taken back to their childhood summer camp to kick off the school year. There will be face painting, tug a war, rock climbing or euro bounce, tie dye, S'mores, Lemonade, friendship bracelets, watch the movie Camp Rock, and other ""camp"" related crafts.",Programming and Activities Board - Downtown Phoenix, Food   Stuff,"Club Meetings, PAB Event, Welcome Event, In-Person Event, New Student Experience","Civic Space Park424 N Central Ave, Phoenix,  85004, Phoenix, ",0
Packing,2024-09-11 17:00:00,"Join MiM to pack health kits for the homeless population in Phoenix. As part of our Liquid2Gold initiative, we are turning medical waste into health kits for the homeless. This is a great opportunity to get involved with our team and help a population in need. We will be assembling bandages, ointments, hygiene products, oral health products, etc. in bags for distribution to homeless shelters.",Minorities in Medicine,,"Club Meetings, Community Service","Memorial Union #226 (Graham Room)301 E Orange St., Tempe,  85281",0
Painting Pottery with CaBSS,2024-08-21 18:30:00,"Join CaBSS, your fellow scientists, and other friends of the departments as we socialize, be artistic, and meet new friends over painting some pottery at As You Wish! CaBSS is happy to provide the studio fees and a small piece of pottery to fuel your internal artist. Come on out and get to know your fellow students for a overall good time.",Chemical and Biological Sciences Society, Stuff,Graduate,"As You Wish!2000 E Rio Salado Pkwy #1141, Tempe, ",0
Panhellenic Boogram Sales,2024-10-21 10:00:00,Selling Boograms for Hope's Women's Center!, Panhellenic Council,,,"Greek Leadership Community Center975 S Rural Rd, Tempe, ",0
Panhellenic Spin Class,2024-10-19 10:00:00,Spin Class as a part of our Breast Cancer Awareness events!, Panhellenic Council,,,"Greek Leadership Village975 S Rural Rd, Tempe, ",1
Panhellenic Votes!,2024-11-05 10:00:00,Stickers for voting on election day!, Panhellenic Council, Stuff,,"Greek Leadership Community Center975 S Rural Rd, Tempe, ",0
Parents weekend Presentation,2024-10-06 10:00:00,Presenting with our parents,Kappa Delta,,,lsa buildinglsa building,1
Parents weekend gala,2024-10-06 11:00:00,Having a fun time with our parents for parents weekend by spending time with them.,Unknown,,,Old main lawnold main lawn,1
Percentage nights,2024-10-07 16:00:00,Raising money for our philanthropy.,Kappa Delta,,,"Crispy Cones420 S Mill Ave Suite 106, Tempe,  85281",0
Phi Sigma Rho Encouragement Night,2024-09-18 20:00:00,2nd Night of Phi Sigma Rho Recruitment Week.,Phi Sigma Rho Alpha Lambda Chapter,,,Hayden C12,0
Phi Sigma Rho Friendship Night,2024-09-17 20:00:00,1st night of Phi Sigma Rho's Recruitment Week.,Phi Sigma Rho Alpha Lambda Chapter,,,Hayden C12,0
Phi Sigma Rho Info Sessions,2024-09-10 20:00:00,"Info Sessions to learn more about Phi Sigma Rho, a social sorority for women in engineering and science based majors, and our recruitment process.",Phi Sigma Rho Alpha Lambda Chapter,,,Hayden C12,0
Pitchfork Awards 2025 (Live and Livestream!),2025-04-16 18:30:00,"Arizona State University has recognized hundreds of students, advisors and organizations who demonstrate personal and organizational leadership, collaboration and commitment to better the Arizona State University community. The university celebrates the people who strive to make a difference on ASU's campus through the annual Pitchfork Awards. Join us for the 2025 Awards ceremonyon April 16, 2025 in the Senita Ballroom.",Host Organizations  Polytechnic   Tempe    Downtown    West Valley, Food,"Student Engagement Event, Student Organization Event, University Signature Event, In-Person Event",Student Pavilion & Livestream,0
Plant Pot Painting Social,2024-09-03 17:30:00,Meet other club members or those interested in becoming club members while painting plant pots.,Cultivate Downtown Gardening Club at   ®, Stuff,"Club Meetings, Clubs and Organization Information, General, Welcome Event, Graduate, In-Person Event","Post Office (Student Center) San Carlos Multipurpose Room POST 135 522 N. Central Avenue, Phoenix , ",0
Polish week,2024-08-11 10:00:00,Getting ready for recruitment.,Kappa Delta,,,KD GLVKD GLV,1
Poly Picnic and Mentor Rush presents: Western Welcome,2024-08-23 12:00:00," This event is open to Barrett, The Honors College students. Poly Picnics are a Barrett tradition, and this is the first one of the semester! Join us for a western BBQ. This is a great opportunity to meet the incoming Barrett students!",Barrett Polytechnic, Food   Stuff,"Welcome Event, Barrett Student Organization, In-Person Event","Barrett Suite, Lantana Hall5885 S. Twining St.",0
Poly Picnic presents: Barrett Buck Store and Game Day Eats,2024-09-06 12:00:00,"This event is open to Barrett, The Honors College students. Bring your Barrett Bucks for the first store of the year! Also get ready for some yummy game day food. Go Devils!",Barrett Polytechnic, Food   Stuff,"Welcome Event, Barrett Student Organization, In-Person Event","Barrett Suite, Lantana Hall5885 S. Twining St.",0
Poly Picnic presents: Pizza and Pirates,2024-09-20 12:00:00,"This event is open to Barrett, The Honors College students. Ahoy, pizza fans and pirate enthusiasts! Come join us for a fun picnic with lots of delicious pizza. Get ready for an adventure and great food that even the most seasoned pirate would enjoy!",Barrett Polytechnic, Food,"Welcome Event, Barrett Student Organization, In-Person Event","Barrett Suite, Lantana Hall5885 S. Twining St.",0
Polypalooza! (Welcome Back Carnival),2024-08-18 19:00:00,"Kick off the fall semester with carnival games, rides, prizes and free food and more at Polypalooza.",Unknown, Food   Stuff,"Student Engagement Event, Welcome Event, University Signature Event, In-Person Event, New Student Experience",Sun Devil Fitness Complex - Polytechnic,1
Polytechnic International Welcome,2024-08-18 17:30:00,"The Polytechnic International Welcome will be held on August 18. This in person event offers informative and interactive programs, and an overview of a wide variety of topics to help you learn more and prepare for life at ASU. After the welcome be sure to attend Polypalooza! on the Sun Devil Fitness Complex fields. *Transportation is available from Tempe.  Be sure to get times and RSVP information from New Student Programs and/or ISSC.", Polytechnic, Food   Stuff,"Welcome Event, University Signature Event, New Student Experience",Student Union - Cooley Ballrooms,1
Popsicles and Yard Games,2024-08-22 20:00:00,Come eat popsicles and play yard games with us at the School of Music courtyard by Gammage!,Young Life at ,,,"School of Music Courtyard by Gammage50 Gammage Pkwy, Tempe,  85281",0
Qmunity Pool Episode! Kick off the Fall Semester with Pizza and new Friends ~,2024-08-28 17:00:00,"Join Qmunity as the Vista del Sol pool for out first event of the term  a Pool episode! Bring you friends, floaties, and fire pool fits to connect with our membership and leadership, enjoy free pizza, soak in the Arizona sunset, and listen to some bumping tunes.",Unknown, Food,"Clubs and Organization Information, General, Cultural Connections and Multicultural Communities of Excellence","Vista del Sol Pool 701 E Apache Blvd, Tempe,  85281, United States",0
RIDS Weekly Meeting,2024-08-17 15:00:00,A time of fellowship and worship.,Rivers in the Desert,,,"ISTB X 201 (formally Wrigley Hall)800 Cady Mall, Tempe,  85281",1
Recruitment round 2,2024-08-24 07:00:00,Recruitment for the new pc.,Kappa Delta,,,KD GLVKD GLV,1
Recruitment round 3,2024-08-30 14:30:00,Recruitment for the new pc,Kappa Delta,,,KD GLVKD GLV,0
Recruitment round 4,2024-09-01 07:00:00,Recruitment for the new pc,Kappa Delta,,,KD GLVKD GLV,1
